iso_code,GDLCODE,Nr_individuals,Nr_households,Data_Availability
DEU,DEUr101,10797917,5204777,LIS: survey + marginals (38)
DEU,DEUr102,12764849,6401479,LIS: survey + marginals (38)
DEU,DEUr103,3491227,2071363,LIS: survey + marginals (38)
DEU,DEUr104,2469354,1286899,LIS: survey + marginals (38)
DEU,DEUr105,667003,340458,LIS: survey + marginals (38)
DEU,DEUr106,1775115,904803,LIS: survey + marginals (38)
DEU,DEUr107,6133722,2983804,LIS: survey + marginals (38)
DEU,DEUr108,1603787,918996,LIS: survey + marginals (38)
DEU,DEUr109,7877084,3946955,LIS: survey + marginals (38)
DEU,DEUr110,17752296,8656407,LIS: survey + marginals (38)
DEU,DEUr111,4028386,2003308,LIS: survey + marginals (38)
DEU,DEUr112,989110,550289,LIS: survey + marginals (38)
DEU,DEUr113,4070844,2110575,LIS: survey + marginals (38)
DEU,DEUr114,2240046,1271135,LIS: survey + marginals (38)
DEU,DEUr115,2844601,1431578,LIS: survey + marginals (38)
DEU,DEUr116,2163776,1166210,LIS: survey + marginals (38)
DJI,DJIr101,771042,161744,No data (105)
DJI,DJIr102,142754,28190,No data (105)
DMA,DMAt,71192,19582,No data (105)
DNK,DNKr101,1778249,850285,LIS: survey + marginals (38)
DNK,DNKr102,823627,386370,LIS: survey + marginals (38)
DNK,DNKr103,1209061,581800,LIS: survey + marginals (38)
DNK,DNKr104,1288496,612555,LIS: survey + marginals (38)
DNK,DNKr105,583981,283390,LIS: survey + marginals (38)
DOM,DOMr101,3913904,1075960,LIS: survey + marginals (38)
DOM,DOMr102,869897,229811,LIS: survey + marginals (38)
DOM,DOMr103,1578074,451123,LIS: survey + marginals (38)
DOM,DOMr104,650262,180958,LIS: survey + marginals (38)
DOM,DOMr105,390247,101717,LIS: survey + marginals (38)
DOM,DOMr106,1059513,300688,LIS: survey + marginals (38)
DOM,DOMr107,568083,147948,LIS: survey + marginals (38)
DOM,DOMr108,500848,144018,LIS: survey + marginals (38)
DOM,DOMr109,751370,197259,LIS: survey + marginals (38)
DZA,DZAr101,13431956,3653456,No data (105)
DZA,DZAr102,5636545,1516116,No data (105)
DZA,DZAr103,6069660,1544436,No data (105)
DZA,DZAr104,2754742,679304,No data (105)
DZA,DZAr105,5600944,1459002,No data (105)
DZA,DZAr106,2254770,566310,No data (105)
DZA,DZAr107,3979537,1021906,No data (105)
ECU,ECUr101,7462837,1927815,IPUMS: marginals (5)
ECU,ECUr102,5420773,1430857,IPUMS: marginals (5)
ECU,ECUr103,1332228,321529,IPUMS: marginals (5)
ECU,ECUr104,-99,-99,IPUMS: marginals (5)
EGY,EGYr101,8249009,2124910,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr102,4114589,1071580,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr103,379926,98016,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr104,80096,19745,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr105,1512678,395538,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr106,6449662,1646931,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr107,7443583,1774619,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr108,4312124,1069920,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr109,3451344,821916,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr110,5410966,1352951,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr111,3990711,944024,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr112,7202462,1693077,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr113,713588,173633,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr114,8629872,2222513,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr115,2980656,665171,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr116,2972316,684066,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr117,4985485,1118416,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr118,4652364,1020708,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr119,4536943,1021209,LIS: survey and IPUMS/DHS: survey + marginals (1)
EGY,EGYr120,4111077,901563,LIS: survey and IPUMS/DHS: survey + marginals (1)
