"country","GDLCODE","X1","X2","X3","X4","X5","X6","X7","X8"
"Senegal","SENr101",61397.2115185635,27749.1273431502,515013.981794244,97575.9400749395,61529.5427934814,1440916.52220817,597368.57522231,215855.349613115
"Senegal","SENr102",7660.13379995327,2626.72530663432,51235.4236169482,10864.6746734305,17947.2829093348,305781.30598589,100435.247622339,36805.5345952074
"Senegal","SENr103",3899.78757168583,2581.02486634301,171195.569347825,19168.7446772522,32707.5151136978,935496.38284379,192444.074062089,53198.1525264484
"Senegal","SENr104",9688.82334493741,8174.41875472386,399647.640321411,37259.9989736492,55028.3101587184,1382541.15980298,257549.981311304,67041.115893577
"Senegal","SENr108",9688.82334493741,8174.41875472386,399647.640321411,37259.9989736492,55028.3101587184,1382541.15980298,257549.981311304,67041.115893577
"Senegal","SENr105",5336.25141099556,3345.47223125089,145690.583625386,9810.07451310637,16239.2364535193,512743.569920436,47870.7012002354,22103.282949446
"Senegal","SENr106",6767.02519548565,3281.81161792605,271208.332899829,24643.647424055,34935.0165740936,1529740.68796598,185620.158318503,67269.5780946482
"Senegal","SENr109",6767.02519548565,3281.81161792605,271208.332899829,24643.647424055,34935.0165740936,1529740.68796598,185620.158318503,67269.5780946482
"Senegal","SENr107",11294.2388119762,4555.62389020336,208236.856214338,30310.3920191178,29970.3887434275,1094196.57180749,254355.060530509,64368.330143183
"Senegal","SENr110",4105.36955232233,2345.76259975802,153131.60531435,10049.396818807,18596.3391625312,793688.916629484,64778.0840908715,25829.0988450382
