GDLCODE,X1est,X2est,X3est,X4est,X5est,X6est,X7est,X8est
KORr101,3321690.52455724,5136280.00042921,9658169.18096071,1875900.3022166,319988.787942932,1091248.87072008,538183.609762653,1108276.72341058
KORr102,218706.336892333,338182.312844137,635911.981275225,123512.795800776,21068.6622188997,71849.873246363,35435.0187040292,72971.0190182375
KORr103,1252352.57268286,1991753.1739779,5596561.19227167,1027622.64042148,218942.641818249,1240397.45750102,576035.950647207,572290.370679621
KORr104,82708.4829844458,131318.012398824,264707.172345261,49649.2912376114,8968.02175331876,35243.7646732693,15692.7173666417,30336.5372406281
KORr105,805492.543374901,1287297.32099114,2543055.7238442,483525.81440728,88088.4372506737,339842.647118634,152334.708264225,297055.804748946
KORr106,484821.262311565,761706.456848806,1555849.5377557,292965.526364447,54052.8005789322,214680.817338526,95400.2745717759,179190.324230253
KORr107,495420.431437453,789031.205399916,1586720.13161608,298817.769855683,54403.9183163907,214536.777645922,95636.2089137439,183065.556814814
KWTr101,158610.419512255,265871.208862967,1233791.28119961,206581.390072802,48819.6746382444,407867.028312454,187565.376669773,98059.6207318969
KWTr102,57161.7827961546,93333.0448843133,380774.633328655,65149.2284809789,14304.7306888824,114456.706452941,52458.7213110849,30060.1520569901
KWTr103,23501.1565306026,40215.5300341352,200513.910038893,33079.2638362387,8076.87984650599,68554.8316757719,31992.8923484347,14829.5356894183
LAOr101,27478.0150773636,51229.2252864825,393094.99554739,61791.3963416494,16939.25760607,160283.71414727,73156.7956015822,27110.6003921925
LAOr102,3756.17357833516,4295.08669330793,76321.2727053698,15757.7421291479,6374.78838866754,65858.7294992292,24971.6054316051,11010.6015743374
LAOr103,3809.23250374642,4717.32172215297,73954.3469511824,13924.1193740736,5115.94419557664,55658.675629035,22296.0472251737,9361.31239905918
LAOr104,6685.20599400797,8124.13711943947,133886.773297462,26754.1564691044,10405.2448734931,109925.822015272,42291.907149865,18379.7530813562
LAOr105,3933.37055492796,4717.21258325543,74255.6778138333,14442.1032799814,5355.18810795948,57161.4666704779,23193.2148544172,9802.76613514743
LAOr106,9486.46772001716,11932.1980014436,185296.135773772,34445.4668233557,12587.7805639168,137443.406386719,54621.4810010683,23090.0637297079
LAOr107,6517.91740856151,8071.73448834275,126542.111818543,23825.3401381783,8753.81108944721,95236.6783763313,38150.4132940538,16017.9933865419
LAOr108,9206.95585372953,13212.2547684227,175716.941678447,28280.6772423715,9197.90513750761,103136.647753147,41253.3021856557,16657.3153807197
LAOr109,6293.91689460438,8801.4945694061,122423.561596908,20382.0349775718,6727.32965230076,74882.0438576145,30499.9298795424,12341.6885720523
LAOr110,12463.0454914606,17980.4887753869,239244.144861926,38422.9528685723,12540.4745224292,140088.718296307,55865.2489806004,22664.9262033172
LAOr111,6692.9838225136,9892.67082112313,125767.927485071,20123.1944338312,6531.39432068431,72409.5233658581,28833.9020668845,11519.4036840345
LAOr112,7820.972382134,9685.42688594447,151840.273460624,28588.4762778492,10503.8635007949,114276.291744521,45777.4025101743,19220.2932379588
LAOr113,18244.8979625445,22171.9499609658,365396.446951071,73015.9781598762,28397.4242771769,300003.531366888,115420.756111674,50161.015209804
LAOr114,7707.49616840799,8776.01099568211,159073.95338459,33170.9427492324,13570.9131217316,140917.699667106,52638.2757118261,23247.7082014239
LAOr115,2511.03899817757,3109.64972592937,48750.5682828585,9178.7536542312,3372.42092073892,36690.0956961713,14697.5129589903,6170.95976290285
LAOr116,13417.0725860651,17322.4137125077,258409.115626192,45362.5459560559,16338.2938918188,180177.585614834,72488.0067394805,30155.9658730458
LAOr117,2712.51971906852,3291.51640580494,52003.1369507421,9964.98928067471,3684.28214530632,39517.1928232107,15890.576546131,6730.78612906162
LBNr101,20658.213595384,36846.1068935145,334625.577273779,50876.8676077142,14585.1409805203,148593.643326396,66279.3978251384,24376.0524975533
LBNr102,87029.4561917278,165566.013051262,1233057.69347292,193401.476719709,51154.9755029261,486234.77354746,223692.544563304,80366.0669506932
LBNr103,45759.9513361691,85752.318504569,682181.033225062,105929.364202748,29272.5375743819,282064.164365173,126826.388772154,46740.2420197437
LBNr104,37196.1156178927,67622.2826935453,386598.907783391,63305.0188535603,16392.429511694,141572.873147443,65570.6520994493,27416.720293024
LBNr105,45177.4417633639,85205.2911013774,540759.338982973,86431.5360443219,22374.7790513784,198343.933554484,91272.3766731837,35568.3028289186
LBRr101,2065.52826162938,2549.08084701933,47768.2563851187,9374.55573458042,3967.88993397637,42176.6450425236,14928.424023493,6461.6197716592
LBRr102,7692.76011603033,9551.40541627982,178508.846519386,34919.774258756,14776.2498596416,156764.285106807,55530.7580013102,24093.9207217884
LBRr103,1550.11739461316,1924.64076033322,35970.1412637863,7036.4535846719,2977.46473165736,31588.537993247,11189.6370893603,4855.00718233075
LBRr104,3799.96849716421,4718.07766498199,88177.4529567452,17249.210960686,7298.97762649067,77436.3604091861,27430.3537151654,11901.5981695805
LBRr105,3355.13915129934,4165.77324376908,77855.2835103272,15229.9954766489,6444.54963702256,68371.5574844565,24219.3201739492,10508.3813225272
LBRr106,1541.11042668023,1901.89364375651,35640.3537763114,6994.44585505704,2960.48069773044,31468.3989780658,11138.2401993184,4821.07642308013
LBRr107,1945.67736421865,2415.77184711706,45149.0254144019,8832.02040803356,3737.25612735982,39649.3217583428,14045.0159931422,6093.91108738396
LBRr108,3839.96194743309,4767.73391992199,89105.4923818861,17430.7533764319,7375.7970261611,78251.3532785583,27719.0493946121,12026.8586749953
LBRr109,5697.71931481942,6884.23121181277,128444.13960799,25586.8902471906,10741.3057557924,114098.341928512,40714.3517066404,17696.0202272421
LBRr110,2226.7135534935,2726.75396265624,51135.1663081849,10030.5592651366,4239.21639166127,45239.7320185818,16001.0707029831,6950.78779730266
LBRr111,28870.9358815964,35202.9535113761,578502.863331271,113621.58306306,44649.082040222,468341.042167982,179183.717663367,78178.8223411252
LBRr112,9696.96739804116,11716.2959305308,218599.50717625,43546.4133691057,18280.66388869,194184.346528555,69291.8901962769,30116.9155125505
