GDLCODE,X1est,X2est,X3est,X4est,X5est,X6est,X7est
SLVr103,273972.577125124,162113.934767404,126873.707897025,96063.9363784431,69941.8319285123,44544.4312202296,35219.5806832618
SLVr104,432021.827563215,251621.122862502,195616.279460807,146261.665778456,106869.731685816,68348.9353664485,54038.4372827555
SOMr101,713046.621884876,289663.530470202,196658.95306044,130157.780279555,82105.8150686606,53887.5110343668,52585.7882018991
SOMr102,254780.112909216,103053.624574709,69816.7825916928,46120.5615308454,28948.2077614285,19041.5379346067,18675.1726975025
SOMr103,235643.629969655,95355.1123547597,64716.5143684327,42890.1705237655,26976.054122006,17755.0180981207,17363.5005632607
SOMr104,137179.391444431,55486.4088247682,37590.9392580778,24832.3563861956,15586.3716315045,10252.3959040953,10055.1365509281
SOMr105,306881.155323627,124127.487850838,84093.9061454596,55551.9465202667,34867.9468775533,22935.4210334028,22494.1362488521
SOMr106,276440.16569551,111814.696711067,75752.2348490837,50041.4868569426,31409.2307236272,20660.3484143036,20262.8367494656
SOMr107,138284.905075595,55933.5676921044,37893.8805039932,25032.4776157025,15711.9804865781,10335.018835315,10136.1697907116
SOMr108,262006.819943711,106023.191701228,71956.8279002411,47688.6100728564,29994.064155464,19741.402857063,19306.0833694364
SOMr109,261284.964543676,105684.711163836,71599.2914663795,47298.0765520553,29687.2913359724,19527.6919665766,19151.9729715038
SOMr110,503641.367123645,203713.18536289,138011.634546939,91169.685093051,57223.9126761837,37640.7172758387,36916.4979214519
SOMr111,300961.825194457,121733.233378227,82471.8463229805,54480.4232120835,34195.3904663363,22493.0272063688,22060.2542195465
SOMr112,185637.660371418,75086.8407286564,50869.8423396962,33604.3227229941,21092.2175181395,13874.0285169492,13607.0878021467
SOMr113,269740.611660337,109104.856769185,73916.3721430268,48828.7266042673,30648.0249925182,20159.6428810144,19771.7649496518
SOMr114,470663.589073654,190374.312404298,128974.813210362,85200.0133461547,53476.9657123851,35176.0523356763,34499.2539174705
SOMr115,704825.047751475,285088.090402539,193141.515490177,127588.164602494,80082.4745887397,52676.6109441316,51663.0962204435
SOMr116,833907.57009941,338761.314375628,229992.520336775,152219.441129308,96022.6984232074,63021.4098295374,61499.0458061351
SOMr117,312475.195727636,126390.168925385,85626.8276056011,56564.5855434351,35503.5437535888,23353.5036354723,22904.1748088825
SOMr118,330492.475026506,133677.809689501,90564.0593908435,59826.0922169095,37550.6734862977,24700.063629227,24224.8265607146
SRBr101,338809.401675922,231517.998251888,230180.023599001,225743.726019198,207172.764930007,177148.815769895,194119.269754089
SRBr102,456674.82002786,312827.430138136,290991.257487376,258084.640733578,226357.556732109,170669.164485592,172760.130395349
SRBr103,475471.275504372,325282.353129983,300443.985600115,266257.953765962,232939.517551519,174449.663238306,176669.251209743
SRBr104,403935.861736133,275250.162814674,254311.798339265,225503.064338521,196368.480405646,146898.692541357,148614.939824404
SSDr101,593739.449544359,250808.940031251,171566.019390655,113396.17732913,72541.9582995082,46648.269064392,45429.1863407052
SSDr102,737198.91835519,298182.694487333,202012.849519283,133448.516394167,83760.8053720055,55096.1415666426,54036.074305379
SSDr103,358016.228684624,144810.635340541,98106.3275188935,64808.470785057,40677.932243552,26757.1103641524,26242.2950631798
SSDr104,684408.167436559,276829.857470089,187546.726800154,123892.279652605,77762.701328387,51150.71162419,50166.5556880151
SSDr105,469962.566144211,190090.762197164,128782.713580223,85073.1134449705,53397.3152358417,35123.659884195,34447.8695133946
SSDr106,187890.889103337,77820.0330940101,53060.7762582755,35170.6856336179,22373.8127754283,14539.7858039574,14196.0173313737
SSDr107,400096.93326091,161831.465898022,109637.601954566,72425.9637773906,45459.1569824533,29902.1020330659,29326.7760935919
SSDr108,380130.355181998,161527.269459697,110910.158302758,73476.3532483136,47358.1794459415,30420.8168742993,29533.8674869925
SSDr109,611052.261926873,274692.352505295,192008.719839355,128614.271297641,87893.203823881,56885.2326134423,52604.9579935125
SSDr110,545359.931328473,220684.333933861,149776.142203935,99262.5196552922,62431.8129260904,41091.1826981014,40185.0772542468
STPr101,45360.7765273022,26125.2564582454,20168.4609457302,15076.0087613142,11051.5744018651,7062.81293085614,5576.10997468685
STPr102,9590.87514446206,4863.07057531851,3572.71441636532,2515.14408877544,1803.93721201617,1151.9568956753,974.301667387202
STPr103,14834.7011378363,7362.80827987522,5376.23638597228,3752.14551346996,2689.62125854309,1720.35811158488,1468.12931271824
STPr104,2677.23587141281,1485.9565899468,1115.52760044406,805.386981114225,585.44812385922,373.510905478484,293.933927744406
SURr101,58270.5478611553,39471.3143239011,35449.3356867364,31054.4461183409,26626.0980209186,19288.0990046997,19310.158984248
SURr102,43501.582591362,28819.1056838787,25405.0368423548,22020.1659417598,18339.0627434568,12774.7810062711,12690.2651909169
SURr103,16264.6236413936,10690.0525247511,9300.61892278878,7890.39017568074,6470.66988146422,4360.2636139991,4259.38123992251
SURr104,15754.1346511196,9964.51884321408,8381.59761999883,6933.32488768517,5357.2577122658,3437.74863176508,3135.41765395149
SURr105,20675.9882105231,10757.8254850137,7959.46033707995,5664.5981804557,4069.41603307352,2639.47551668089,2153.23623717318
SVKr101,108822.549858237,75902.5832081411,81128.4925069655,82831.7440778565,90177.8222150721,81561.4149264632,108804.393207264
SVKr102,336304.213619403,227128.491836352,238304.168204242,253446.220164186,252768.197499724,234099.812539211,291442.896136883
SVKr103,263371.388504961,177548.171638112,182752.010085633,186819.172288231,179021.43800412,165079.0986836,190040.720795344
SVKr104,343823.335736182,235241.40061426,231182.148828021,224378.906241173,207481.092626764,178461.574694451,195876.541259149
SVNr101,20422.8775171052,13771.0553317042,14680.98196188,16184.3910911033,16337.0580811311,15504.1773959525,19806.4586211237
SVNr102,55900.6521520084,37113.6065007044,39586.4593166005,44294.4063343763,45850.0200993564,43310.0171663843,57403.8384305697
SVNr103,12341.9609219579,8164.89525951024,8770.34440831169,9812.81511735665,10113.2711107592,9527.24696497282,12595.4662171314
SVNr104,43867.4789686595,29269.7893088835,31183.7266328673,34455.4950622992,36081.489407569,34111.3826656101,45086.6379541113
SVNr105,10383.4422188045,7025.39592604416,7465.66618290264,8014.9650537802,8004.41568769703,7481.34392209798,9353.77100867352
SVNr106,13088.9570425884,8659.07484108366,9301.16874741218,10406.7349062363,10725.3759727331,10103.8827660522,13357.8057238942
SVNr107,24633.5585079284,16399.4905520433,17415.7066644058,19289.060297001,20232.4751539878,19075.3457119947,25372.3631126391
SVNr108,92309.132158693,60866.8390823943,65527.5099202631,73533.3768893113,76023.0539642757,71593.2613719051,94834.8266131575
SVNr109,35346.2984676423,24603.5803491438,26350.233562854,26974.888916411,29123.2929920284,26459.6646170366,35057.0410948838
SVNr110,8945.57868890665,6029.2707741968,6385.77470721528,7054.54414553235,7555.26906557198,7009.88181967843,9574.68079889851
SVNr111,20206.6890833107,13441.0101210901,14489.1024689136,16032.9221764271,16811.2623351514,15822.6302689011,21422.3835462059
SVNr112,19271.5433283205,13104.6397948983,13748.318699462,14906.4493989372,16168.6280587776,15120.5823477362,20488.8383718682
SWEr101,378919.751696076,264257.987445372,285605.062674537,293102.042067357,319952.07129312,289072.493454479,384137.59136906
SWEr102,279639.050352112,194518.191181683,209964.223127819,215474.618112888,235152.166375127,212641.450146777,282638.300703593
SWEr103,142552.251383639,99089.4846018245,106646.955037813,109679.077814069,119840.26030267,108498.777241935,143712.193618049
SWEr104,248221.897532672,173109.527250159,187093.521213098,192004.625588944,209593.482262143,189364.957959025,251639.988193959
SWEr105,334098.687338575,232999.853739603,251821.859667398,258432.048138529,282106.08328496,254879.140442101,338699.327388834
SWEr106,142567.551292462,99094.8965157769,105389.879060941,110663.006496447,121747.744931817,109711.407521553,146844.514181004
SWEr107,63546.5158371332,43995.9467436723,47308.9827055327,49216.2076638956,53813.2896535751,48539.5185644142,64588.5388317769
SWEr108,88009.1321020783,61219.551283735,66080.7888837366,67815.0426639756,74008.0401808666,66923.3765912905,88953.0682943175
SWZr101,98629.6553334483,55807.4268041753,42337.8350721223,30959.9984639627,22511.6159978135,14398.2560567212,11366.2122717567
SWZr102,157453.410466578,81710.7600196766,60509.4933811122,42970.1498103146,30804.1709551822,19932.7524260853,16330.262941051
SWZr103,81259.2177915558,38934.5675440076,27937.4443971374,19222.2580050004,13604.4700689765,8774.86099483989,7792.1811984825
SWZr104,87458.775545953,43753.9950056356,32111.494580985,22434.7126951476,16072.0105802267,10252.4003834043,8714.6112086478
TCDr101,467772.528543232,224128.678601313,160823.219344882,110653.836889922,78314.7750693357,50512.9021263872,44856.059424928
TCDr102,767886.468166291,310595.214449116,210422.08511059,139003.608638741,87247.5357823083,57389.6413895917,56285.4464633611
TCDr103,848047.756568145,343018.904140051,232388.490497248,153514.488596813,96355.4901064651,63380.6671276748,62161.2029636039
TCDr104,665838.367039298,269318.732615347,182458.08898497,120530.755034149,75652.7939504132,49762.8577816552,48805.4045941675
TCDr105,720055.678404796,291248.585723234,197315.128638061,130345.229234341,81812.9843033931,53814.9047773576,52779.488918817
TCDr106,818301.953932382,333731.001963779,226153.893953289,149779.834604809,94459.0362471017,61686.424865316,60145.8544333232
TCDr107,1442430.80501002,583691.362645401,396145.204221823,262540.953063653,165126.854768829,108682.69620332,106286.124086958
TCDr108,844189.660809599,342938.245594873,232828.330972821,154096.308731504,97206.6594889485,63798.4645964992,62257.3298057555
TGOr101,486366.408976072,250892.855152461,184650.355869644,131407.762406569,94239.7689235761,60167.4839829768,50074.3646887005
TGOr102,784500.317971422,354260.219341908,249589.608849113,168873.644277685,116695.591806665,75692.8237205002,69789.7940327064
TGOr103,785803.113003577,334258.746661513,230140.361978401,152215.180328993,98363.8939069316,63406.444145085,61480.2599754995
TGOr104,322991.309985657,139500.890496846,96444.328988984,64243.5612466921,42241.7552741032,27395.0267607228,26097.1272469941
TGOr105,406122.103270997,169155.905719062,115709.344379395,76460.8620593474,48913.1099279732,31733.8951665253,30879.7794767008
TGOr106,434119.85424084,175670.131553728,119225.475300211,79015.3953176652,49697.2512473447,32709.5872262374,31988.305113973
