"GDLcode","X1","X2","X3","X4","X5","X6"
"ESTr101",97148.5610681536,153418.213032213,277806.097867526,58378.6683933159,4601.20431321152,1534.08372558038
"FINr105",4149.58466528996,12394.9565964966,10088.5752471873,3253.78881406013,0,0
"FINr103",248573.631008077,393632.529366351,382759.936632213,103301.955828882,16481.5233570124,1652.10579118391
"FINr102",333478.302024115,510951.541621621,547229.469388995,150405.761736282,15855.2612289875,0
"FINr101",279611.483528942,479269.778916179,452122.984319327,134732.926463662,23470.6695020855,1496.09628135385
"FINr104",243101.711523995,444333.466152774,389807.46350168,141945.754737219,32833.6640582158,25219.0350558082
"FRAr110",287960.031175121,638906.335194121,737520.45108988,209497.239493889,9207.0671167866,0
"FRAr115",589625.674910751,1065454.68300694,1323861.71949711,315094.651337294,39852.5822254986,0
"FRAr119",262848.154901195,446603.64126684,527880.145791535,83840.1431361199,22948.0879160998,0
"FRAr106",234084.532870777,443465.464490154,559861.178225127,184422.891112552,34414.2404044732,0
"FRAr107",294774.648978703,507834.441382626,670553.506874867,124843.215981947,36650.4187818568,0
"FRAr113",590899.49319419,981692.851108827,1251134.14752571,405182.124089395,29086.8990765967,0
"FRAr105",400381.362295143,762044.767360292,1006911.14098708,358096.694021329,29651.4113953365,0
"FRAr102",245019.904523324,398191.263828465,505154.85404365,154379.474569455,16361.4560849998,0
"FRAr122",56069.2142709047,113411.412859019,119085.133308162,18583.6409795814,0,0
"FRAr111",199985.328219946,356398.47809074,444353.114794875,161634.376180637,15134.4997677543,0
"FRAr104",287981.645223799,511998.258246566,779201.455986033,232325.113270919,13109.6732442691,0
"FRAr101",1707686.32716899,2847043.38209283,5235654.89559693,1999094.89935472,214330.081730293,0
"FRAr120",479395.908602375,904640.493731652,1037483.07997557,288740.454621643,45463.1580679356,0
"FRAr117",136946.077931873,253768.664600511,258674.951931254,73711.1796253201,9979.03611104181,0
"FRAr109",416546.731412116,676079.380164519,901535.700161257,295042.927710583,31819.2346980143,0
