"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"India","INDr112",540460.1,5351463,33141010,42083090,23314010,6029571
"India","INDr101",975704.1,6368326,34411160,30859300,9246530,2262187
"India","INDr130",975704.1,6368326,34411160,30859300,9246530,2262187
"India","INDr109",394312,3010691,20089510,20606110,14010040,5146439
"India","INDr104",26778.28,280164.4,1503589,1279030,329610.9,116081
"India","INDr110",232647,2286730,12396150,12310330,5465148,1435073
"India","INDr135",232647,2286730,12396150,12310330,5465148,1435073
"India","INDr121",1130123,6868131,30477890,23133660,7072617,765126.9
"India","INDr133",9854.268,172553.9,970364.4,552990.1,164152.2,0
"Ireland","IRLr101",78108.555,192881.581,383508.651,154836.716,22518.933,0
"Ireland","IRLr103",78108.555,192881.581,383508.651,154836.716,22518.933,0
"Ireland","IRLr106",142889.437,338398.167,726826.864,337014.732,49874.989,4111.395
"Ireland","IRLr107",142889.437,338398.167,726826.864,337014.732,49874.989,4111.395
"Ireland","IRLr108",142889.437,338398.167,726826.864,337014.732,49874.989,4111.395
"Ireland","IRLr104",192897.009,497460.523,1074457.408,491971.216,60162.892,0
"Ireland","IRLr105",192897.009,497460.523,1074457.408,491971.216,60162.892,0
"Ireland","IRLr102",192897.009,497460.523,1074457.408,491971.216,60162.892,0
"Italy","ITAr101",744220.999,1469028.591,2337214.903,294365.419,0,0
"Italy","ITAr102",61596.082,116515.09,138463.967,53892.498,0,0
"Italy","ITAr104",845733.798,1662397.086,3875680.618,708172.534,106094.136,0
"Italy","ITAr113",328416.831,723804.906,1375445.425,411856.59,96863.901,0
"Italy","ITAr114",328416.831,723804.906,1375445.425,411856.59,96863.901,0
"Italy","ITAr115",421052.838,722683.468,2015220.143,738572.579,77222.915,0
"Italy","ITAr116",174192.649,506158.247,1173005.734,387740.822,38139.63,0
"Italy","ITAr103",353448.138,486959.853,930151.144,123763.814,0,0
"Italy","ITAr117",597062.884,1057608.409,2305965.449,429752.208,71276.621,0
"Italy","ITAr118",338366.593,995874.068,2005258.165,272643.46,33018.252,0
"Italy","ITAr119",64173.761,215664.648,605915.742,118155.23,9428.616,0
"Italy","ITAr120",235136.511,480779.272,831733.434,191733.196,0,0
"Italy","ITAr121",910031.053,1153641.768,2713911.949,416012.765,8816.109,0
"Italy","ITAr105",151823.199,265533.878,568126.077,270318.776,0,0
"Italy","ITAr106",90433.528,214065.685,825257.611,14247.405,0,0
"Italy","ITAr107",471650.557,846753.7,2804637.803,1543180.992,86338.785,0
"Italy","ITAr108",326444.191,720431.21,2300113.544,336177.612,0,0
"Italy","ITAr109",273257.149,398995.77,1009428.307,51354.666,0,0
"Italy","ITAr110",293505.856,381548.163,1123732.218,407869.136,0,0
"Italy","ITAr111",396927.682,632127.733,1920441.584,597160.882,35994.94,0
"Italy","ITAr112",130293.385,350985.302,875421.305,185300.636,23380.224,0
"Japan","JPNr101",638009.08,2581175.51,2110898.09,132894.16,79390,0
"Japan","JPNr102",1590316.29,3572778.71,3758658.39,1432482.57,68011.86,0
"Japan","JPNr103",6676710.39,11377128.48,17840640.14,3476338.89,530659.81,0
"Japan","JPNr104",6676710.39,11377128.48,17840640.14,3476338.89,530659.81,0
"Japan","JPNr105",2793207.92,6634493.7,9677302.61,3652287.98,691442.77,0
"Japan","JPNr106",2793207.92,6634493.7,9677302.61,3652287.98,691442.77,0
"Japan","JPNr107",2163843.46,5572731.5,10616871.65,1898971.99,300451.27,0
"Japan","JPNr108",825209.16,1729026.24,3878031.1,607850.9,47422.27,0
"Japan","JPNr109",653196,1910405.49,1800231.67,345099.35,0,0
"Japan","JPNr110",2266215.47,4620166.31,6299045.83,1339618.07,415008.51,0
"Lithuania","LTUr101",24987.9253,39311.2546,56060.8051,20152.27,3396.3821,0
"Lithuania","LTUr102",105682.088,144831.4058,243003.2772,55331.1976,24985.3209,0
"Lithuania","LTUr103",55457.9637,75544.1163,142933.4444,46264.4469,5467.5721,252.7144
"Lithuania","LTUr104",18562.8375,40326.549,59736.3346,16908.2967,14141.0288,0
"Lithuania","LTUr105",44606.7035,52179.2432,114078.0499,21063.7017,0,0
"Lithuania","LTUr106",46512.9998,77406.3433,129831.076,15914.3906,3732.4929,0
"Lithuania","LTUr107",19486.554,35317.6999,34662.9259,12138.8005,0,0
"Lithuania","LTUr108",19880.8142,32852.1483,59991.0537,24916.2535,3602.2453,0
"Lithuania","LTUr109",31105.2464,42154.3851,50215.5239,14268.2167,0,0
"Lithuania","LTUr110",142068.6431,202429.3881,360864.8558,83213.6426,16989.1714,0
"Mexico","MEXr101",23040.897,100511.304,519136.707,445568.581,168981.611,15943.836
"Mexico","MEXr102",132438.059,392194.311,1511602.909,1005944.806,340144.852,68180.692
"Mexico","MEXr103",29900.454,63366.476,335953.958,244589.065,70727.096,4910.421
"Mexico","MEXr104",23756.416,65146.253,383489.838,278021.013,120237.166,25764.678
"Mexico","MEXr105",86995.621,240221.796,1150136.809,1099785.955,366238.227,0
"Mexico","MEXr106",27707.801,80120.03,297607.58,218372.428,72126.065,17006.09
"Mexico","MEXr107",66834.836,383375.596,1582460.282,1731385.329,1200466.618,215498.328
"Mexico","MEXr108",137802.443,368449.921,1572180.466,1193824.523,351917.837,52260.908
"Mexico","MEXr109",376732.498,1013685.233,3923518.452,2447599.271,877871.009,178549.917
"Mexico","MEXr110",53796.166,147893.859,664974.202,610785.202,257993.511,20344.174
"Mexico","MEXr111",119309.197,499894.872,1949780.806,2096438.04,987901.515,124750.745
"Mexico","MEXr112",77322.092,255594.42,1252277.571,1065382.945,817660.231,79126.922
"Mexico","MEXr113",67721.718,305855.083,1200471.629,966252.572,274269.051,38473.648
"Mexico","MEXr114",164666.454,631199.525,3153802.97,2647880.306,1145913.847,116820.916
"Mexico","MEXr115",305522.377,1294717.637,6170464.9,6034162.641,2705337.24,184597.752
"Mexico","MEXr116",93245.886,373033.648,1765091.861,1515291.737,726791.39,97459.828
"Mexico","MEXr117",62587.823,169810.37,900551.141,508454.036,256977.355,0
"Mexico","MEXr118",30954.692,122522.015,559104.526,385292.664,108358.958,0
"Mexico","MEXr119",128494.69,450379.792,2324334.68,1576192.981,527564.592,27814.027
"Mexico","MEXr120",50376.909,328513.167,1389795.41,1351447.028,783392.508,67647.561
