"GDLcode","X1","X2","X3","X4","X5","X6","X7","X8"
"CHNr123",1324149.75841752,8970859.75824626,32201662.0536774,1642401.06647948,2349553.21519062,28822774.3262842,3772111.68968756,1147854.78607907
"CHNr124",580747.705832764,3934453.93229175,14123056.1292588,720326.870395041,1030470.7838218,12641138.1789091,1654378.74077704,503427.976637056
"CHNr125",792094.162356257,5366285.49803578,19262736.989334,982469.157084485,1405481.04477398,17241517.5410717,2256442.39268531,686636.13726933
"CHNr126",52833.4048677227,357936.149295841,1284842.1697624,65531.5910824106,93746.8707654172,1150024.9844938,150506.770733928,45799.2581705752
"CHNr127",729617.639775155,2635627.12818721,18716657.7305864,858522.000231335,454746.607286224,13663575.1793442,1237515.71072402,314173.606107951
"CHNr128",490009.777448755,1770082.0157239,12570070.6632799,576581.693389236,305406.930540451,9176430.32156962,831113.126853798,210998.378351532
"CHNr129",115189.06841546,416102.10202697,2954909.87375478,135539.965085411,71793.5466507272,2157149.73204086,195373.952186415,49600.4523951106
"CHNr130",129121.305293687,466430.081328431,3312309.27702522,151933.663949488,80477.0503201753,2418059.22164797,219004.633631627,55599.6783767242
"CHNr131",450835.252446386,1628570.30438162,11565138.5779569,530486.054071208,280990.741339809,8442807.61523001,764668.611935652,194129.814439956
"CHNr132",154553.763157794,521769.691341625,3347341.93098231,101838.376176963,157859.191032408,2409324.76672425,218655.489920692,97430.2873903534
"CZEr106",185272.712553752,311615.654603746,900814.394113493,134455.064462704,16673.8022480551,80910.4569697209,19350.1712876285,36503.0723586753
"CZEr103",148858.258287321,233969.8510391,618922.851809719,110280.899231286,11161.0695934005,50046.9787430408,8546.60270624378,21554.6408448341
"CZEr108",138060.265971022,231768.971518747,576020.198921813,110930.808696034,14504.0791300332,45693.5569091109,25192.1605516937,41120.332146957
"CZEr101",225682.088529677,301383.400881977,544112.288502972,90446.5197275816,6798.13426428649,24249.59480473,17912.8678292366,49424.0637054904
"CZEr105",160881.066909745,323955.272716008,749876.09474591,88941.4386647903,12288.6882368864,95505.4895476357,9147.29217682363,44896.0918749591
"CZEr104",124870.083702517,255641.822453139,540019.444038049,110989.79800127,8498.00182402732,31580.2146047567,13390.9410707423,23770.0697412219
"CZEr102",250243.833447667,507421.884443104,1389994.32526696,214094.411430848,32366.6442064326,158078.249066599,28980.4873361487,93580.8586000549
"CZEr107",108684.21642525,243559.682136027,618013.126745101,98054.5117991869,11941.5423839739,63996.9437761823,10689.7725751479,31961.7596445699
"DNKr101",448578.504848034,388937.620103135,659708.802222528,157555.250644989,6437.61518407865,33998.043715309,8286.71741780337,37979.9728641236
"DNKr104",274830.405426699,339478.912178728,531483.987209182,94477.9019807991,3346.2779911464,12602.9937358857,2623.56114690472,20394.4753306556
"DNKr105",125874.281461096,164655.263924777,224749.640232994,39456.200175009,1448.2930619795,4432.95106132913,1428.72153411491,9727.04934870013
"DNKr102",162354.332872317,222683.245312766,315700.755630961,69606.578151109,3159.99413613339,14065.8275571791,3487.55450390332,17273.9923356316
"DNKr103",252452.980227102,337005.052715556,478129.000602793,94463.985803617,2593.8638824756,12357.8381929351,3728.06291853907,20662.1476569824
"ESTr103",24785.6154444709,23905.7990880745,43844.0554150378,7353.38354487335,2323.57679763125,7375.68889173952,2038.74337509129,7821.43344308145
"ESTr104",25604.8374828126,28642.2573296286,54263.4134660281,9375.98256108483,2890.26778233433,5085.70620808614,2753.50631136685,9364.67055770982
"ESTr102",26352.3506166016,30028.3631740216,56970.7089269345,9353.51783101609,3654.4804985189,8049.05831611399,3668.18024304306,5611.69769375025
"ESTr105",62378.345242474,58768.9301562147,123536.681049111,18598.6647379914,4165.87768200508,13006.2487142145,5637.79920559488,20241.713112394
"ESTr101",97148.5608019403,107562.086862507,254249.177400663,44473.0835042096,13796.2417888421,25930.4245407523,9530.92026485388,40196.3342601289
"FINr105",4149.58475798656,9954.37411383371,11405.9549618081,2958.88551608468,77.7767123071384,510.110322429647,0,830.219587460352
"FINr103",248573.630512147,366419.011240751,441241.251349896,63643.4617250986,3023.50225787,1551.81454360846,702.81099536255,21246.1984663118
"FINr102",333478.301824273,447833.348022849,648919.488261622,96340.5760346171,7139.74020637892,7350.63052121406,0,16858.2518284943
"FINr101",279611.483124322,419455.684644234,550920.72552491,73383.1054875739,7130.90878705154,6526.95085057689,534.996495375066,33140.0844009718
"FINr104",243101.711815087,395586.284746955,530796.357739828,75150.4841600764,2211.56472722346,6689.84651062551,427.164005687265,23277.6819063937
"FRAr110",287960.031175121,513353.573849601,818989.539051324,204958.038749657,11181.8345751069,21827.4947051532,7546.72203347001,17273.8889129153
"FRAr115",589625.674910751,850755.616439972,1397744.69447599,346706.761032369,23716.5311732846,60382.3784706084,17172.8337742118,47784.8207004092
"FRAr119",262848.154901195,343986.958880355,564097.328868543,137945.423963895,6403.88884642502,7580.03378935338,2684.38054800951,18574.0022022241
"FRAr106",234084.532870777,367375.622018665,689286.420219364,136828.962337926,5878.42020919035,5190.26425742394,6072.63432462176,11531.4518744857
"FRAr107",294774.648978703,422208.505080202,694180.803839583,146937.458272237,11493.8659343571,34862.7782052886,7997.49431400142,22200.677375627
"FRAr113",590899.49319419,839459.503111526,1487700.05176632,271013.636926423,9217.18185008159,16181.9698961504,9707.3575623631,33816.3196823932
"FRAr105",400381.362295143,647928.922743305,1209212.7693273,227211.203212661,12944.8628094797,24083.292670584,12359.2819080548,22963.6821123782
"FRAr102",245019.904523324,314202.686359174,575101.421782473,126707.327801389,9285.13200505382,16586.6169752561,17080.9567700637,15122.9068331596
"FRAr122",56069.2142709047,86055.344350786,113003.809656949,38936.6839123534,2212.02050422049,4604.90321025101,2122.85924687706,4144.56764709196
"FRAr111",199985.328219946,279671.652971812,518406.854850694,138966.898392431,7638.34282442342,19561.5045007828,2322.94924800739,10952.2640242746
"FRAr104",287981.645223799,423789.743301188,878410.727018288,189292.891630584,5488.6359230425,21806.8949610387,7073.32718317643,10772.2807304694
"FRAr101",1707686.32716899,2101658.90760796,6172659.82126554,1422054.37696154,68986.3816066201,220920.2899572,104564.861780701,205278.619595215
"FRAr120",479395.908602375,731047.220487064,1109690.18183665,345848.899942389,25738.209649572,39094.3673144921,9372.76091888659,15535.5472475419
"FRAr117",136946.077931873,220048.462452846,302834.617983903,51321.8092150351,6710.21453311823,4286.52684874029,3357.97773335475,7574.22247614607
"FRAr109",416546.731412116,536493.903173058,1050477.82123871,228345.466914135,23922.3866031614,24668.1431687066,9241.88372071838,31327.637915886
"FRAr116",479465.870780481,797653.416855017,1370185.17288641,237549.299592213,30524.6253871889,34702.1412810133,16315.9545544672,42629.2725676415
"FRAr108",649694.697730913,843838.845698455,1887068.36625833,464617.402609077,26243.0994037019,70783.5639726321,23620.8941300349,44099.8522003085
"FRAr112",552802.009675235,998731.086771576,1723235.36979873,321550.267233967,19902.6783738485,36777.3768805493,5439.00982743358,21061.9252246812
"FRAr103",225628.414744358,436578.38618971,952492.421108534,208171.16921814,11911.6734170634,33213.5042036025,16980.580861193,19872.4033164902
"FRAr114",331977.597213896,501309.052744938,738060.005480989,183060.731452254,3493.18506608418,8550.94258530723,1191.51333281718,18270.1640734347
"FRAr121",836495.164329409,1119293.47830887,2212708.35003559,549323.017258588,29288.5009325538,70933.284758161,45444.8500969488,53221.5101032523
"FRAr118",1010580.03243584,1480467.61251575,3024472.14686493,710029.399816129,23348.3185694336,74765.2331335247,29309.5940373055,83368.4256232949
"DEUr101",2119789.41193275,2970449.69277438,4776728.91304228,591631.525000516,85309.9350165482,87209.3143347287,108792.527276543,85678.5650869549
"DEUr102",2685601.42454639,3604327.51101703,5313060.9094617,1028617.62159471,21918.1072290412,111452.983851495,28897.4475521058,100872.049304132
"DEUr103",1220380.39392579,830520.745920078,917289.152866791,294993.477401722,0,0,4224.56578677309,141369.815814046
"DEUr104",541753.871808773,938537.122214063,815392.965278133,156142.562843147,16084.9641117093,14010.5051853023,5975.02083516555,13568.7964331131
"DEUr105",164316.433306032,139873.748827996,286318.471395844,68655.7784235832,0,0,0,3976.57417074305
"DEUr106",426553.811894834,546623.141428108,603854.5034435,123940.165779754,0,2475.65533103167,3798.72946646602,31209.9352043416
"DEUr107",1228710.42402182,1739621.08184177,2472887.98460954,413420.09448495,7355.09864679338,49724.1851417614,60855.8940609188,194894.494177455
"DEUr108",482739.665350355,503418.94072821,437183.102829274,117692.810505902,43932.3708694944,3142.17700028449,1707.89186919005,0
"DEUr109",1600847.17473182,2482869.8625101,3082106.21046175,630582.328593733,22470.1488565421,41832.5564976065,41968.701021171,48153.893960685
"DEUr110",3551554.82083532,5069134.91525446,7620630.21941028,1213294.1105655,8436.28706825545,137077.783773452,34560.1023419791,241445.146767862
"DEUr111",816948.543488759,1157380.15968582,1631017.28707072,282247.707697344,5953.45999027882,132451.875318872,11293.4495615079,71636.0206158022
"DEUr112",278456.887856704,230118.699942767,294572.321393372,167516.943103463,0,0,16559.4913405633,19146.7657394802
"DEUr113",926566.470672367,1203026.43594106,1597472.27569455,318367.336286506,5248.55460224309,5182.07822765218,24454.6564696594,14959.7839247999
"DEUr114",640238.388577981,663083.506584364,680121.145478382,218202.033924003,9558.87232653939,0,7085.50095299635,24644.6157868914
"DEUr115",584357.039394351,943539.602614768,1122817.37477529,165705.416993693,5893.18420677195,590.870790249186,10631.4799018257,24591.4824257079
"DEUr116",519786.887796498,671162.325878386,703519.914646366,181341.435086533,0,45913.9638386622,15542.444019618,15279.07772448
"GEOr102",4985.1994690022,5242.72423896283,76215.7182058098,21834.9065323597,13810.7823174321,97583.1552813613,74450.0497483249,17832.3489152691
"GEOr103",4734.77827961484,9747.27060701498,27789.6871900534,3247.75096803639,4455.13833824288,33748.3072895005,16990.6156076598,6619.98274210912
"GEOr104",26692.8874675476,42258.0152307279,109941.544756255,36319.479592188,14467.3169722628,143812.435644821,109308.07953143,19400.2581047668
"GEOr105",15444.1908702576,33141.7760173312,68431.2647258573,12972.394809771,10042.3082761417,111948.776245513,40260.4267463477,9172.20730878093
"GEOr106",12289.6886564162,45190.4417250973,129105.138469268,31921.1089671231,6966.1012855866,137839.780450436,57430.4371547504,10550.493771617
"GEOr107",5988.9251293806,8019.5211238939,22022.5801698357,10474.9829595867,580.031581137129,19882.3289118851,13786.3273416039,4950.21761947767
"GEOr108",1165.98626508249,2020.03665451258,6133.39071192368,2040.82418331249,192.093425205151,11871.6206421915,6187.71999266279,1120.89472484902
"GEOr109",16510.0340721304,28722.4103782114,63390.2227323761,14119.8310264035,9458.96384951382,118903.043507459,52451.3815333476,6055.77790929873
"GEOr110",11988.4383408913,9298.63841700325,44162.7298140674,7241.27639291091,2061.49294830738,52020.5030151357,19594.2011678271,5634.38653774943
"GEOr111",8495.10837914236,12735.3252915738,79259.1255040469,19494.9751567118,3117.34907158209,61748.5144248821,48156.8895252248,10517.6374785499
"GRCr105",60837.2677656816,118819.735327441,301279.370750037,32698.8528105413,9200.14504403954,48456.7142350062,7878.86930155781,17896.6992555441
"GRCr101",379294.792603162,575897.177794652,2166527.78250053,221693.850895085,31803.7325019334,184481.57727033,74059.4845989175,191030.896071722
"GRCr111",63094.8535712015,132247.332225599,311231.752498863,31270.9330109371,8183.58710302017,69171.9464179278,11445.0008817548,18008.4190495112
"GRCr107",28292.9428688492,55258.2340853813,140112.801531861,15206.9086667207,4278.61387724864,22535.2501487017,3664.14218137935,8323.02810718463
"GRCr110",19060.8280906811,39951.6525093243,94022.4851151721,9446.88583331199,2472.24516908903,20896.7055907667,3457.51169798093,5440.30709731853
"GRCr108",34683.5303260834,67739.5294844453,171760.379382566,18641.7256187547,5245.03353550194,27625.3352491982,4491.76980479024,10202.9682489556
"GRCr106",190476.212110995,372014.292232379,943279.595472279,102377.273872912,28804.8566811037,151713.772130238,24668.0568571637,56033.0141158749
"GRCr104",65471.9683773033,105064.309862019,344797.496342114,32761.3517395796,4786.69204675733,28633.8184351329,10241.3534581556,19966.4296628133
"GRCr103",19659.513136577,31548.0537871502,103533.635490124,9837.37377780688,1437.31794699786,8597.98389490611,3075.20955665562,5995.39460894982
"GRCr113",53564.639873965,112271.925902212,264221.498210336,26547.5893903692,6947.4905042109,58723.8132675319,9716.28137462266,15288.3226838456
"GRCr112",51048.1097673004,106997.258092796,251808.059855502,25300.3522556208,6621.08918683528,55964.8990955406,9259.79898882496,14570.0592099415
"GRCr109",70326.3466748185,147404.601271036,346902.970426049,34854.9897701317,9121.53291553491,77099.9536193476,12756.7472487371,20072.4187387509
"GRCr102",31448.0749790573,50465.4186524976,165616.183327046,15736.2222559774,2299.18626427407,13753.6489493561,4919.21748225236,9590.45210740749
"GTMr105",18585.6722505657,58045.1400775987,1022628.53353806,108293.601410257,32161.6728350472,343530.94349607,150527.182913199,32715.1073550576
"GTMr101",63607.8613290486,106973.498354898,1580366.42196284,320405.118315063,41049.5761742558,714466.719064646,426290.195343649,60997.0488241025
"GTMr102",3091.32643149307,21129.2393845922,874519.63223558,48533.3195879001,18353.5591109711,464181.910459391,95620.6795867675,14860.4103010993
"GTMr107",12648.6109053204,44662.625650507,1190438.77704764,160155.657623429,22834.6069968164,691743.503998352,181104.047709039,26888.2480764218
"GTMr103",14296.3329847673,32933.9715998428,672579.740210021,101861.868484039,17011.8822223753,258828.737269964,114176.129468034,32798.988033428
"GTMr108",6501.25609729806,14847.9269274477,437241.221842489,57803.1599812907,12089.8791105027,132835.555628144,54740.9014720568,11586.2183769052
"GTMr106",31253.5931217126,81446.7500405129,1897845.12894288,292733.559099328,52489.6223559513,1078857.9318157,346191.328260587,95330.8821511825
"GTMr104",13683.0978339655,32690.2359393195,639067.796030328,85428.8827835156,25352.9185619788,283867.248111403,92254.7088932151,17511.21404547
"HUNr107",182777.578876562,262311.532537728,428505.000280091,64495.2889729576,35105.5732000681,124493.915074579,39894.2301261304,122283.620931885
"HUNr104",155393.894640111,237370.76861515,232286.477703615,32311.0844116327,87074.9203343314,52331.8727593791,0,103341.488654181
"HUNr106",160430.063945149,276390.676154528,601920.491435163,68602.9562620236,75909.1151178633,78874.9472799191,59825.9573452974,185767.665358827
"HUNr105",188001.119791237,234667.531318755,401664.537964352,82485.2882380426,40694.9919088634,59462.7827015908,33391.1425656684,138316.771511492
"HUNr102",104533.782744676,154400.630535255,449214.161713472,50723.9721376866,29933.1927181629,111826.903719892,45486.6585540215,104188.751472316
"HUNr101",467679.536195349,524753.57240544,909629.992897333,80048.7799921793,208568.653467167,352083.701283007,67095.4383761509,357737.314383374
"HUNr103",92565.9139415073,131310.510666046,356396.418287752,32456.6549088654,38934.35500264,139172.221512036,13856.2465505519,177300.613744099
"IRLr101",47194.348496897,87512.5634752836,286405.097045013,58326.780445928,2250.04714349429,7821.51283869548,6489.12968041998,6619.32045740946
"IRLr104",106986.247759529,186823.430127095,703684.931732675,175732.601162828,15303.0576574258,27749.2631112646,32184.9135018083,36582.3588381168
"IRLr105",48749.1376358185,85127.5869524105,320639.65516757,80073.9622202896,6972.96035344198,12644.1732001307,14665.3127009664,16669.04376393
"IRLr106",27249.9899290765,46761.8128856725,174239.451982317,34630.0342882799,2244.94841384145,6869.95110568472,4315.88715395995,8650.16969692663
"IRLr102",23625.1507095349,41255.1312458918,155390.649848569,38806.0080056467,3379.28519828088,6127.70834393313,7107.2072156661,8078.26948752687
"IRLr107",50837.4250314198,87238.5701094175,325060.122984308,64605.5934900521,4188.16289419221,12816.5414084101,8051.69433840384,16137.7070091075
"IRLr108",58711.7878638878,100751.216621366,375409.670569834,74612.549661282,4836.88013763966,14801.734349335,9298.8456761739,18637.3253551437
"IRLr103",42441.8962193908,78700.0828532475,257564.216747016,52453.2966624177,2023.46828369079,7033.88958108771,5835.67688128297,5952.75749838423
"ITAr105",155964.98484286,239399.479538147,564208.131758296,46078.8296438154,64551.5205300178,145013.648532167,29234.7741265473,45609.2388354985
"ITAr109",88471.341983713,106502.83467821,285370.396845037,53715.3637243984,0,0,22072.3492179643,4965.60835067755
"ITAr110",251488.320902791,292218.80580852,1121133.94432466,37512.5310334011,33493.663963796,37933.2889505063,4174.56982716433,94299.989494416
"ITAr107",471889.601074999,571846.559002843,2949384.46892788,542450.440591581,39200.3386367072,573540.090652255,183998.556597044,423167.326509267
"ITAr117",596840.555379059,765491.057225344,2271139.44036812,347475.689354434,51649.23368802,242441.818480199,95324.6262453876,89641.7582592967
"ITAr116",95804.7058788358,170992.791962657,691430.426237602,103240.711155078,8236.13090388891,73988.6983450568,13292.5517118002,96578.0141547146
"ITAr121",990250.549308478,719886.84851932,2736421.89214143,648648.653704384,15878.7710675248,251659.451566747,183428.851360222,114832.87215508
"ITAr103",283816.572709794,293604.625064676,610940.777401764,92567.0229756114,32622.913353854,86569.6375884931,20332.0076661196,100675.540058782
"ITAr104",1175488.46846352,1704963.27285481,5670120.07969405,844809.046416431,63948.3058589604,210513.123397651,113640.244780839,221152.369655585
"ITAr120",207659.231679232,306095.216231951,614142.614908081,155408.087255122,31968.4704487057,147416.966725234,15581.2245009612,57852.091533854
"ITAr106",23961.4892155175,31272.5387785554,175359.785202793,21115.9303607008,5682.98092040173,8961.22285822605,955.353192569422,35808.8642362607
"ITAr101",676311.110578036,1039162.40155898,1844550.50604329,332196.259345571,76759.3448106545,40579.7692443349,49674.3818743218,343507.215182062
"ITAr113",58158.7898887257,84902.1293109127,253798.062138981,56415.3292858025,11525.0420664065,25331.9346107181,7122.51998513893,22746.1935989641
"ITAr114",60171.9787694893,87841.0491716751,262583.379674561,58368.1676072341,11923.9858302437,26208.8092703198,7369.06875385528,23533.5618389282
"ITAr108",354708.859594913,585674.959231445,2413004.65932354,255794.59753837,1693.44927352117,101311.555783058,31149.0603680819,258730.735102815
"ITAr112",134295.259477341,243576.150900714,830923.004000524,157358.66381717,12325.3170968626,78608.0180631159,43995.1718831424,112378.902606347
"ITAr111",540268.337683157,577856.911050739,3015304.65053236,372872.106442976,10346.383844959,132992.09475505,61400.6137223495,165398.552606967
"ITAr118",340442.303529126,743079.858878658,1925971.90797774,221095.962754415,34664.0431754367,178356.754476666,79955.481748348,154887.942472348
