"GDLcode","X1","X2"
"TGOr104",382643.741869855,382406.480030145
"TGOr105",454113.462205712,448598.101094288
"TGOr106",550290.857262786,510541.645737214
"UGAr101",2419871.23597207,2277008.82602793
"UGAr102",1990783.12133085,1948864.66366915
"UGAr103",843320.47702847,766560.74397153
"UGAr104",2144204.80829779,2039164.94270221
"UGAr105",2860310.658152,2702980.363848
"UGAr106",2492929.33443364,2416168.97556636
"UGAr107",1502298.71318128,1359920.72781873
"UGAr108",2531490.85597666,2454793.83702334
"UGAr109",2429083.24497148,2182792.04302852
"ZMBr101",1046252.42024139,973970.563758612
"ZMBr102",1214218.75514399,1132828.75285601
"ZMBr103",985506.240190159,952350.998809841
"ZMBr104",657561.280380962,613301.354619038
"ZMBr105",1248487.37280805,1202640.34219194
"ZMBr106",1183507.89840584,1121823.70059416
"ZMBr107",452660.431331875,420720.668868125
"ZMBr108",991676.362245477,988488.911754523
"ZMBr109",548751.308093203,503126.904906797
"ZWEr101",991556.411009873,917561.506990127
"ZWEr102",645450.791850741,631094.187149259
"ZWEr103",784456.854061534,720140.018938466
"ZWEr104",866359.195270097,824684.587729903
"ZWEr105",432474.367933124,380447.780566876
"ZWEr106",391596.880268004,344081.246631996
"ZWEr107",929015.711934921,825341.172065079
"ZWEr108",872193.87761955,757403.76738045
"ZWEr109",1183290.12118181,1007164.28381818
"ZWEr110",353324.051806302,295088.683193698
