"country","GDLCODE","X1","X2","X3","X4","X5","X6"
"Mali","MLIr108",25111.9949983989,45880.5215084097,237899.781332439,347762.123850623,582341.049421309,574718.894768142
"Mozambique","MOZr101",20150,76320,324410,396300,316220,29680
"Mozambique","MOZr102",42770,141920,489260,510830,389510,61040
"Mozambique","MOZr103",97050,323780,1243240,1344420,949860,78900
"Mozambique","MOZr104",74790,266500,1104770,1341290,1036580,66860
"Mozambique","MOZr105",28330,94560,478910,602280,537930,49220
"Mozambique","MOZr106",22330,57940,281390,414470,500850,158120
"Mozambique","MOZr107",29790,75320,345150,480740,574670,159840
"Mozambique","MOZr108",44230,78820,286050,361380,382250,133970
"Mozambique","MOZr109",33940,55200,230150,309520,385530,198860
"Mozambique","MOZr110",36150,65600,282720,367500,356520,109010
"Mozambique","MOZr111",20390,46540,221820,300660,378490,149270
"Myanmar","MMRr101",11083.87,48323.12,315997.95,441534.85,433408.66,118458
"Myanmar","MMRr102",2695.1,10522.66,68582.56,96212.04,82824.91,11530.45
"Myanmar","MMRr103",14994.69,66069.56,388310.21,501750.12,417524.64,65064.34
"Myanmar","MMRr104",5395.81,17428.02,87597.85,147125.08,178354.48,33011.4
"Myanmar","MMRr105",43454.58,224418.12,1529575.69,1760094.17,1309676.13,208066.93
"Myanmar","MMRr106",11925.94,58946.14,362366.13,462794.03,392438.3,63827.73
"Myanmar","MMRr107",55917.3,322883.74,1780274.94,1563528.52,900463.16,117535.92
"Myanmar","MMRr108",50936.54,255253.48,1420877.41,1281936.25,707649.25,69923.12
"Myanmar","MMRr109",77354.54,397444.76,2333145.49,2318239.87,1495449.7,280952.19
"Myanmar","MMRr110",21384.51,93775.86,576036.44,647770.28,502410.24,108104.42
"Myanmar","MMRr111",19109.12,110182.44,649723.92,731753.53,472037.78,51137.72
"Myanmar","MMRr112",67575,432368.64,2332001.19,2196852.28,1540881.38,371843.59
"Myanmar","MMRr113",44468.33,233288.9,1587007.91,1885451.35,1472860.44,276006.93
