"GDLcode","X1","X2","X3","X4","X5"
"PHLr104",1418144.32382613,361432.576604408,660325.352637686,534502.80185255,680572.692079226
"PHLr105",3667548.19274108,1271638.12792031,1932409.44581439,2167850.65337569,2376605.99014852
"PHLr106",4529444.41407429,1442739.23072343,2097307.95939068,2707310.32097488,3421025.04483673
"PHLr107",1167470.06473065,335339.810364984,490806.296820259,368786.708130846,500343.613953261
"PHLr108",2151417.43204068,845524.919344108,1158432.46921968,730291.504903744,881331.939491789
"PHLr109",2951707.65917033,748391.794559579,1231398.41977277,1081664.34831176,1411569.41218556
"PHLr110",2832407.93517905,770235.032107249,1229429.29757805,990605.892877461,1340096.01525819
"PHLr111",1716035.94395504,491761.730511358,771900.526875279,404866.106800844,731613.71085748
"PHLr112",1681313.30203309,349566.715429745,585184.109719151,309412.103630913,566415.506187099
"PHLr113",1881091.27148624,538847.98096729,842024.646999693,717384.42299978,898280.813547001
"PHLr114",1888136.85967519,575060.092592299,866990.320205757,666289.433327234,1055905.21819952
"PHLr115",2037955.12330267,396481.383175083,745408.856703124,564676.150280575,643334.527538551
"PHLr116",1092266.80881368,260072.753244449,487768.935030132,340245.109209619,429122.902702118
"PHLr117",1527933.49271835,269095.471534742,354061.424305135,205028.89756919,329799.176872581
"RWAr101",767505.586804283,191718.557923424,160939.276637945,93006.1160024864,92249.939631862
