"GDLcode","X1","X2","X3","X4","X5","X6","X7","X8"
"INDr136",24903.3132033897,63891.0929627341,62207.1375239933,73605.0480443393,60863.3899199369,43460.7868064668,26370.1224808765,16557.8404582633
"IDNr101",478646.218624838,907894.041552598,742205.514752738,726541.965627518,682309.439009746,526164.846450465,326270.543621221,232994.447360876
"IDNr102",1392427.55664811,3031516.6288005,2148304.14547733,1949243.9802865,1954674.18763767,1518416.88113411,1078949.57178632,660881.868229464
"IDNr103",463867.118596384,1017598.94168984,881029.733458058,708763.082479168,693946.483515958,612233.46436318,466435.329844494,322791.196052914
"IDNr104",697614.338779393,1455820.95846415,1064229.82615477,1046407.76905459,1074251.25051855,734405.425810695,393841.327917881,212366.134299963
"IDNr105",310600.101611736,615099.04224257,576539.188080251,547236.990561381,584261.391330617,437317.161400078,267305.533703464,161583.030069902
"IDNr106",776195.078994595,1567313.8697115,1143092.56431412,1316112.5765012,1134921.44976266,949063.099901238,605448.37461548,398448.513199198
"IDNr107",169682.349163516,351390.550884505,279073.388592134,284316.519459256,295973.708428724,217434.57401357,139022.257524088,87751.4869342081
"IDNr108",753647.619107626,1469537.54230476,1082296.41725302,1233385.48753648,1342107.70802611,981068.541490509,691327.317405423,556493.075876078
"IDNr109",125851.200265823,258206.831283959,222937.592154765,217857.64947327,230466.553790473,161276.974328875,107185.195077324,62141.2446255103
"IDNr110",825973.82916926,1571046.07969831,1712138.21717907,1663384.04607616,1671412.7088726,1340119.38164898,801584.365264856,413341.454090756
"IDNr111",4386006.25186384,9023334.68855446,7536767.08477726,6909225.1755211,7766600.915117,6171992.7785307,3745917.84370351,2408478.23193213
"IDNr112",2670537.45098355,5452762.33357484,4606855.35906775,4191930.26904501,4942203.03343988,4948202.84910061,3556075.71813463,2887243.59665373
"IDNr113",254018.511225041,513096.539718228,598026.340000331,454265.582948615,566144.248471806,524062.102503091,379053.441079306,387727.266053582
"IDNr114",2837593.45276755,6089972.20982917,5443631.39101133,4919345.17381418,5996931.37767699,6058126.59188604,4219771.93290076,3186992.140114
"IDNr115",1117478.57608875,2301839.59747516,2025130.43948902,1902377.5665707,1971932.74256041,1544614.4524622,834365.40912991,523847.026223851
"IDNr116",355345.113064185,649469.682434499,616274.752579895,571943.998487195,709130.20151573,596653.553626237,408799.908025525,346498.241266733
"IDNr117",499432.063436112,942461.030041842,734656.702757641,732684.518161263,705296.551761757,565514.363381549,331871.925123903,285717.368335932
"IDNr118",556641.477887972,1224936.30466955,781238.190513363,662155.490002296,621160.521754138,501396.33790454,347785.719160242,333529.7441079
