"country","GDLCODE","X1","X2","X3","X4","X5"
"Mexico","MEXr114",168790,272131,432159,536495,598469
"Mexico","MEXr115",708831,1088471,970785,827604,594979
"Mexico","MEXr116",319989,287656,210130,180151,166778
"Mexico","MEXr117",105320,108478,133380,99556,93045
"Mexico","MEXr118",63392,66106,62425,70320,74822
"Mexico","MEXr119",107450,144924,254778,366501,495274
"Mexico","MEXr120",394171,237734,139074,113226,91962
"Mexico","MEXr121",416498,299013,313746,315932,182599
"Mexico","MEXr122",55308,95047,121666,99150,144648
"Mexico","MEXr123",51696,62744,74807,111196,116517
"Mexico","MEXr124",170461,138446,136556,145378,110968
"Mexico","MEXr125",100800,140073,171341,194130,211524
"Mexico","MEXr126",108753,144306,162526,193139,217617
"Mexico","MEXr127",141101,135486,128807,110439,110674
"Mexico","MEXr128",183680,177546,212405,208821,208111
"Mexico","MEXr129",71489,79506,56587,60625,35044
"Mexico","MEXr130",670902,617882,386733,330372,216964
"Mexico","MEXr131",88209,100105,126273,114455,121414
"Mexico","MEXr132",156260,111426,79155,59927,55409
"Paraguay","PRYr105",47989,105896,118986,150485,190560
"Paraguay","PRYr101",80261,70712,55100,48742,37947
"Paraguay","PRYr104",55127,40254,35052,29042,22566
"Paraguay","PRYr102",91664,81698,81431,70194,60124
"Paraguay","PRYr103",58099,36027,40892,34645,21490
"Poland","POLr101",216533.25,192172.5,190316.75,191049.5,164828.75
"Poland","POLr102",346076.25,332270.75,363492.25,414283.25,600146.5
"Poland","POLr103",197156.25,247316.5,226134.5,233814.75,209276.25
"Poland","POLr104",284439.25,341284,369807.5,384954.5,296588
"Poland","POLr105",177957.5,153601.75,137720.75,130846.25,121612.25
"Poland","POLr106",140425.75,126251.75,140216,130379,110464.25
"Poland","POLr107",97540.25,94450.75,82598.75,76472.5,72881.25
"Poland","POLr108",121360.75,85949.25,73774.75,78780.5,64488.5
"Poland","POLr109",212670.75,228711,221845.5,237553.75,246518.75
"Poland","POLr110",115832,120989.75,140615,114669.5,111163.25
"Poland","POLr111",61604.75,66168,77192.5,78426.75,70771.5
"Poland","POLr112",203229.5,220993,215726.5,223482,223042.5
"Poland","POLr113",73501,64245.75,70538,62571.75,73820
"Poland","POLr114",184225.75,163896.5,142040.25,115343.5,108369.75
"Poland","POLr115",130079.75,110973.25,96424.75,87078.25,68045.5
"Poland","POLr116",152494.5,165832.5,164583.25,156317,170354
"Russia","RUSr107",1807984.4,1837117.1,1412804,1391182.5,837907.7
"Russia","RUSr103",1392972.6,1385385.3,1310351.7,1174609.3,787334
"Russia","RUSr108",394506.3,436497.4,554472.7,658422.1,850126.4
"Russia","RUSr104",611662.5,565183.4,616774.9,575677.2,351647.4
"Russia","RUSr102",1252744.2,1226969.8,1492156.7,1521696.4,1775967.7
"Russia","RUSr101",2543484.7,2601431.4,2887059.6,3116801.4,4418999
"Russia","RUSr105",2547485.5,2412491.6,2121890.4,1895402.7,1362111.8
"Russia","RUSr106",860726,943896,1007695.9,1068646.1,1017168.6
"Serbia","SRBr101",57027.31,107567.44,128276.66,146742.39,159623.83
"Serbia","SRBr102",157004.52,149110.56,133542.58,138187.64,111873.26
"Serbia","SRBr103",160548.31,134797.68,122475.03,112029.23,127051.75
"Serbia","SRBr104",126991.25,100932.02,98170.14,99603.11,87892.37
"Slovakia","SVKr101",41336.7,40076.84,41125.84,49169.43,71902.77
"Slovakia","SVKr102",137903.74,134315.11,128425.19,129261,116869.36
"Slovakia","SVKr103",106566.07,94503.31,88467.96,79947.03,89486.53
"Slovakia","SVKr104",83943.71,101414.75,111300.28,111305.35,91312.84
"SouthAfrica","ZAFr101",239383.04,262655.51,433317.09,463452.67,504727.52
"SouthAfrica","ZAFr102",735388.28,485236.22,309731.54,219987.05,236554.87
"SouthAfrica","ZAFr103",63604.25,71889.36,100334.63,78373.25,94488.97
"SouthAfrica","ZAFr104",156016.42,201631.32,178529.21,189812.49,184999.75
"SouthAfrica","ZAFr105",660159.75,794241.93,527080.31,521790.95,527749.75
"SouthAfrica","ZAFr106",164370.64,228972.43,174536.34,205119.15,182031.65
"SouthAfrica","ZAFr107",732336.24,720066.27,1018100.01,1196475,1151593.61
"SouthAfrica","ZAFr108",206359.61,197993.84,302110.46,260230.52,220199.77
"SouthAfrica","ZAFr109",359532.48,312622.5,244085.76,166899.18,186145.39
"Spain","ESPr101",245197.781,207119.839,203647.969,230167.029,204837.383
"Spain","ESPr102",89762.844,90221.903,83254.985,107060.575,87246.693
"Spain","ESPr103",40928.839,51069.893,46526.132,58014.706,44091.43
"Spain","ESPr104",99859.697,137405.362,185327.126,222638.649,257347.168
"Spain","ESPr105",26748.514,32869.211,51567.311,68160.164,76869.801
"Spain","ESPr106",15557.1,27595.784,32422.502,26907.722,27420.892
"Spain","ESPr107",74624.651,107847.444,110661.563,132787.966,112918.375
"Spain","ESPr108",405837.092,405571.321,493184.382,567248.724,710941.484
"Spain","ESPr109",188733.933,227011.032,185455.263,244812.572,181464.2
"Spain","ESPr110",204853.054,194183.514,158123.073,112990.497,116305.862
"Spain","ESPr111",133301.296,110684.569,93418.451,64931.615,29965.069
"Spain","ESPr112",409333.401,568954.243,591204.168,593971.512,814073.675
"Spain","ESPr113",517815.251,378343.028,447506.702,363223.292,291351.722
"Spain","ESPr114",63959.949,80449.289,86189.05,111622.41,105433.302
"Spain","ESPr115",836736.2,763207.108,648539.239,522928.027,439906.427
"Spain","ESPr116",118231.126,126887.711,117390.437,105372.957,72083.77
"Spain","ESPr117",6252.724,4771.623,6606.893,3092.59,8046.323
"Spain","ESPr118",3435.89,4761.472,2621.554,5267.133,8142.798
"Spain","ESPr119",220560.189,179721.418,156087.073,159312.392,110903.93
"Switzerland","CHEr101",150926.43,143571.19,140448.51,128752.43,137941.03
"Switzerland","CHEr102",204067.37,165460.16,159153.41,167566.55,142463.98
"Switzerland","CHEr103",88534.11,113740.18,93989.36,100289.69,118730.2
"Switzerland","CHEr104",98719.92,137477.16,131464.38,146193.26,179729.84
"Switzerland","CHEr105",103700.75,103860.99,116664.07,112716.2,80231.02
"Switzerland","CHEr106",56716.5,55379.2,78917.61,76757.68,71232.49
"Switzerland","CHEr107",51531.52,34706.76,33860.91,21460.18,23941
"UnitedStates","USAr120",139261.32,133272.06,114648.5,137928.28,80798.28
"UnitedStates","USAr130",65575.63,79461.03,87739.72,122288.5,147310.84
"UnitedStates","USAr146",46320.43,53047.14,55820.71,55804.48,54107.69
"UnitedStates","USAr122",494066.32,456598.04,510307.78,524790.86,728334.66
