"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est"
"KGZr102",0.674334752,"KGZ","LIS",1429813.552,276666.72329102,294625.124691796,298826.573360948,288753.362053895,270211.242442498
"KGZr103",0.675861484,"KGZ","LIS",273649.1532,52950.690277977,56387.7127689684,57191.8196183674,55263.9278730947,51715.1887223891
"KGZr104",0.655689497,"KGZ","LIS",2965430.86,688161.763023181,630387.099798371,577772.661010115,543279.686535311,489152.262066853
"KORr101",0.932851272,"KOR","LIS",25277781.82,4047431.14619844,4457625.76591139,4975500.87954555,5431914.79171514,6121465.15466888
"KORr102",0.917474802,"KOR","LIS",7547884.397,1414453.17293897,1527118.10718325,1562079.03241433,1578194.98001419,1460712.85337295
"KORr103",0.839864811,"KOR","LIS",5219350.122,1552526.02589608,1242801.49227678,1000869.42138795,850675.193240474,673261.236225889
"KORr104",0.888512095,"KOR","LIS",4996672.049,1239304.67111483,1153286.0446437,1027809.09464573,897718.468286587,738440.940912908
"KORr105",0.893991982,"KOR","LIS",5260819.896,1304820.2097457,1214254.22960367,1082143.97130269,945176.135766985,777478.440826043
"KORr106",0.884028541,"KOR","LIS",1599520.45,396722.687778843,369186.64963741,329019.325154799,287375.083712858,236387.614501101
"KORr107",0.891509022,"KOR","LIS",523629.3622,129873.705567131,120859.329983804,107709.894788955,94076.966503764,77385.3787322263
"KWTr101",0.807183966,"KWT","LIS",2572505.323,519000.900434805,524268.611582316,520995.985063469,515608.090772793,495665.149677171
"KWTr102",0.815931223,"KWT","LIS",826374.4476,142451.124927138,146788.391660063,159175.072963433,170223.255209323,199244.247844645
"KWTr103",0.797427765,"KWT","LIS",477582.5159,113840.431938056,104235.454057621,95121.3992730985,89461.1113178841,80383.0597781845
"LBYr101",0.699527619,"LBY","LIS",1839373.035,404757.346817584,400027.10957846,379494.262313071,361598.080522515,317863.125766388
"LBYr102",0.712253434,"LBY","LIS",3859649.712,725688.081621525,731618.632685318,757361.759940172,779799.158867642,834632.007484314
"LBYr103",0.706767912,"LBY","LIS",466747.178,102708.556560891,101508.242736223,96297.9627467562,91756.7456098433,80658.8517492978
"LIEt",0.915801203,"LIE","LIS",37277.57015,7455.51403,7455.51403,7455.51403,7455.51403,7455.51403
"LKAt",0.780954774,"LKA","LIS",21042366.79,4208473.358,4208473.358,4208473.358,4208473.358,4208473.358
"LTUr101",0.835345687,"LTU","LIS",148173.5207,37671.0703123258,33592.104029775,30353.7230785009,26034.0229641205,20889.4455287138
"LTUr102",0.876491428,"LTU","LIS",588504.8724,102810.048726954,114283.196880935,120621.963745358,125964.829727565,124222.657698324
"LTUr103",0.870924007,"LTU","LIS",337239.876,58914.8020862363,65489.434246883,69121.8339968346,72183.5375541492,71185.1942834877
"LTUr104",0.824364165,"LTU","LIS",155873.9478,43223.3238624962,35624.0917711303,29602.8206143524,26006.6669328948,21930.6678286054
"LTUr105",0.842402315,"LTU","LIS",237124.138,54827.087189956,52531.1474168167,48306.5413659697,43611.286916934,38222.7411241286
"LTUr106",0.841449707,"LTU","LIS",289985.1066,73724.7066051249,65741.9073392686,59404.1876108702,50950.2567585095,40881.9879546735
"LTUr107",0.81077025,"LTU","LIS",91542.63764,25384.4669348963,20921.5418630636,17385.3316661913,15273.3597940101,12879.5812678918
"LTUr108",0.841559998,"LTU","LIS",140040.1961,32379.6476665452,31023.7171451901,28528.7595892205,25755.8476481243,22573.4933931632
"LTUr109",0.825160017,"LTU","LIS",141112.7657,39130.0974862692,32250.5087368732,26799.4488390846,23543.8490481314,19853.8449472858
"LTUr110",0.907155567,"LTU","LIS",830731.8032,124000.521957197,140608.123398064,161941.162321618,182742.115483561,219426.158801726
"LUXt",0.908421326,"LUX","LIS",565904.0727,113180.81454,113180.81454,113180.81454,113180.81454,113180.81454
"LVAr101",0.884994755,"LVA","LIS",983400.5691,146578.509900239,168708.484235619,194147.781066516,218249.018618916,251410.733757748
