"GDLcode","X1","X2","X3","X4","X5"
"HTIr108",278558.074888072,223065.517751207,181703.19063317,92245.7085691521,44603.2100583984
"HTIr109",204964.931602301,203528.896490009,144844.031311643,130125.156209291,78434.1741867566
"INDr101",2382945.34956728,7982693.98116281,17062442.4364504,15607131.2566999,9233225.95611965
"INDr102",8189993.89516775,12975417.0292242,6264580.50457721,4119083.80747498,2078556.53355587
"INDr103",59429653.8845068,27036152.8525552,15658634.48554,10340443.2442784,3827371.33311965
"INDr104",4730.16508713461,68150.7874646388,168441.253662604,425363.689961542,842149.39482408
"INDr105",5719311.55516895,11126363.8160745,13974190.1218065,16135671.2113633,19642476.3655868
"INDr106",483667.028212278,2020446.14390522,4818550.87823168,7359938.5247794,13064793.1248714
"INDr107",120873.361361556,694895.579469577,1704876.98214688,2461958.43849371,2413218.70252828
"INDr108",1002025.74250971,2710864.49850538,3400428.55198171,3256724.15538694,3488395.92161626
"INDr109",4170586.96764508,13182159.700713,17808031.8452574,17713464.0199709,13482415.1964135
"INDr110",117873.612026583,811914.390079862,4917357.15201613,13290308.9168638,18015694.9090136
"INDr111",24586685.8759231,17897062.1060545,12741318.2494262,11434215.3592189,12919970.6893773
"INDr112",11094003.4278418,19308402.3462519,27184976.3692368,32078607.3558808,31456660.9007887
"INDr113",282902.241775059,989371.103853546,971701.71035144,626088.23662272,335733.818397234
"INDr114",395073.362003022,1235048.48853273,1095568.28158965,533292.897853751,220622.78702085
"INDr115",75474.5714008223,124821.562515929,253648.186053362,362507.826855748,439607.118174138
"INDr116",254091.682370217,677464.822918687,560799.297343142,415122.814005627,244081.525362327
"INDr117",16618765.1296879,11870076.8043712,8369725.79945082,5021070.19835313,3336461.90813699
"INDr118",192881.673702653,1094606.53024014,3534910.48916886,6570818.01838247,18631494.9285059
"INDr119",12943836.4203815,17495785.9142379,16129731.4923597,14189602.108621,14972246.8043999
"INDr120",3831.39963158434,44687.4971543133,274779.54946547,244174.537821486,74995.9301271456
"INDr121",2754039.85303867,11553131.8472184,21514968.7837373,24720404.5241919,17814778.6018137
"INDr122",22133290.9831413,29102068.6074123,20633158.6465242,16834305.5876047,8881800.60531749
"INDr123",64003781.5752203,50284695.4665428,38118640.5689466,32805158.0239777,34324712.2653127
"INDr124",23670.2507251205,342116.399272824,2436972.58140066,3995156.27467619,11443636.1739252
"INDr125",299214.805634741,387428.616095719,394693.620690948,318377.300402406,143477.877176186
"INDr126",522794.511126248,1755295.34194378,924270.929072448,598864.201668068,253571.033189458
"INDr127",529039.679513902,1963133.47605182,2792884.43539656,2569142.22654352,3340179.51249421
"INDr128",16874934.4614303,7771924.08064573,5173332.45089018,3660619.08845478,3251908.64857902
"INDr129",8580103.91050589,7050842.35261028,4669970.83570261,3579226.34521128,4051720.33596993
"INDr130",2371109.31162217,6525720.08632511,9884057.50544943,10381120.2260955,8805672.95050782
"INDr131",5640.8092050634,20176.021554768,41362.965004468,96118.9647798353,690673.059255865
"INDr132",104796.414949389,117599.262627238,79076.1662264571,101541.53835144,90222.4142454766
"INDr133",28681.9077536559,110586.976247893,254229.495927404,366697.494178494,439039.626892554
"INDr134",404.910551634326,19843.4356666546,31348.4059907061,55845.0642825837,53427.9987084213
"INDr135",64.8747058719024,187.210095848638,4474.96631157193,25940.1895700318,18434.6114566758
"INDr136",16618.9732517071,38949.3265464581,79917.2569754876,121383.350748308,114989.823878039
"IDNr101",1344903.87560831,1185003.54259772,892979.250184564,617247.172955871,582893.175653542
"IDNr102",3754950.47708283,2647487.4550472,2880744.4694984,2622480.78721506,1828751.63115652
"IDNr103",1220809.42311754,1248822.90153045,1154790.52248399,889013.811320767,653228.69154725
"IDNr104",1043468.87718059,1531997.24224855,1579611.28938814,1195653.50488308,1328206.11729964
"IDNr105",755929.876317576,830732.273605282,853748.118309817,561929.359534727,497602.811232597
"IDNr106",1805738.66783953,1836010.38955075,1476910.98393694,1539359.63891987,1232575.84675291
"IDNr107",482174.409904779,522980.732444931,336086.560517509,244799.779641454,238603.352491328
"IDNr108",1681192.565669,2027674.20420793,1596814.22383103,1492707.4319324,1311475.28335965
"IDNr109",120929.995590643,275822.826923379,314517.636688084,352659.079774665,321993.702023229
"IDNr110",205166.590715845,645974.008316863,1489987.9407363,3046641.82714255,4611229.71508845
"IDNr111",6096623.39680999,8723326.15142521,10264098.9476244,11185694.1038675,11678580.3702729
"IDNr112",5110567.61246182,7566894.56395763,7647601.44492861,7328587.92108718,5602159.06756476
"IDNr113",445624.31904751,692501.005033761,706682.120443369,719870.104479425,1111716.48299594
"IDNr114",5053490.03223193,7755437.96234491,8246808.31607968,8356574.09768401,9340053.86165946
"IDNr115",1597543.24208164,1558629.4824578,2220825.12055854,3187190.33790464,3657397.62699738
"IDNr116",501792.42448384,611899.76908725,786740.427768487,1036081.75181288,1317601.07784754
"IDNr117",1472632.2526999,1326841.0446851,816802.687686238,609519.350384069,571839.187544691
"IDNr118",3954598.14882043,546232.649450878,240693.929228471,176437.674812963,110881.383687259
"IDNr120",1724330.37213191,993075.836926743,929996.847251867,640897.470953098,459663.929736378
"IDNr121",870860.619282618,561291.091422769,421756.35497569,289857.803697097,311597.650621826
"IDNr122",1034235.82571912,960728.593418344,855806.160623183,577451.429692349,548179.718546999
"IDNr123",439518.366258296,854627.590838059,1061969.56747183,974914.736729964,812404.641701849
"IDNr124",558874.187562796,635083.745170746,444664.326178117,364916.898928766,377418.371159575
"IDNr125",1160215.29979555,607084.991118196,328359.082429482,326604.286587052,304772.887069715
"IDNr126",3051849.53175921,2300235.15768314,1767496.79221513,1394427.69297635,1304398.58636618
"IDNr127",980532.239088613,507766.439429068,341640.496320039,302628.749589681,273440.5525726
"IDNr128",402014.12285405,283374.906616979,160415.55393399,120441.8856198,174597.90897518
"IDNr129",1403339.93407846,486698.657172943,304039.061971309,238260.92653438,111656.45524291
"IDNr130",3993469.54213526,1076966.62504541,695723.214462225,687835.676546366,458424.161810739
"JORr101",393034.405835863,518380.609687232,607456.668089276,850466.752393605,978839.905994024
"JORr102",171593.168797028,162659.416440721,156565.972699633,177258.028320244,383816.511742374
"JORr103",223331.645265158,222989.836445664,262382.485755066,253245.32630602,139836.311228093
"JORr104",75047.3124408752,72736.0635632237,46930.2844981812,31790.0787148309,18765.524282889
"JORr105",439252.11081491,448689.329060286,426895.154094215,331051.694101781,233678.998928808
"JORr106",253966.51987686,125949.443347877,78066.3327027875,28767.8037620668,16243.6421104084
"JORr107",39597.2623229172,51469.7146691261,42186.3597321254,27138.4311157058,12746.5316601254
"JORr108",85961.81188993,85226.4279902152,75096.3551889549,37253.5900810396,10262.0024498603
"JORr109",67834.5049016575,92768.0300018024,106603.060211041,79561.1153192447,34326.6644662546
"JORr110",35547.3594028508,44708.1632326356,32049.8837862525,20000.9464085822,7898.08706967884
"JORr111",62963.5584177293,41967.1757770137,32636.8064134895,18380.9263000452,17006.4767917223
"JORr112",38150.5405436012,38093.1055593856,40698.6616894939,48452.5893982687,30527.1164092506
"KENr101",9084.80061067509,31184.4563555689,247622.761969692,1066551.14817956,2823474.6618845
"KENr102",114048.512046985,579105.133569387,1056510.7935996,1541913.9452732,1556436.14151082
"KENr103",1595950.78637484,414192.945336855,433345.132019552,592506.468400795,985990.762867954
"KENr104",1259558.85323335,1803515.6380092,1465597.69856658,1287604.59038954,690831.926801331
"KENr105",1032395.18123953,1935057.31461549,1500473.33397063,1100337.8983445,679056.477829856
"KENr106",3288314.74191114,2515286.81304133,2467068.65325742,2382459.23919334,1804580.31259677
"KENr107",616093.946133293,1530831.28081577,1691197.55467143,849901.146287059,317721.214092449
