"GDLcode","X1","X2","X3","X4","X5","X6"
"GHAr101",224094.114520144,297783.078562377,809653.370823593,863858.114295507,467068.41236889,66237.6784294883
"GHAr102",184112.24582953,259520.791572297,740910.349743056,852597.218750346,500440.860516392,73840.9745883789
"GHAr103",421839.600253434,499765.520303345,1540546.00090634,1414417.44549977,681589.363096846,47163.4599402602
"GHAr104",188273.806805923,238312.09027196,690223.462721096,747592.219575055,513243.732866206,76695.6627597606
"GHAr105",246612.375686739,303331.727728074,905163.139098183,914243.073448782,515705.480121884,24165.4049163381
"GHAr106",455123.546584382,509203.574707184,1605191.51726212,1957135.28966612,1243594.02697703,133991.382803164
"GHAr107",196182.158706383,245139.94947629,747583.779064649,716693.83035012,552386.704094893,148288.410307664
"GHAr108",62575.9560329964,98252.2375359874,380507.737147616,802343.061540487,1118521.13624244,553681.739500473
"GHAr109",28509.6450599773,34508.9338846112,182610.27177854,249409.428005471,229613.38679214,51559.0522792612
"GHAr110",24831.968240903,54856.8171193445,244812.580647344,366234.46198055,374800.842389185,60396.9966226739
"GTMr101",34156.6129012463,190947.190500424,1163776.13169835,1138120.50324991,713062.182368719,74093.9192813585
"GTMr102",10323.283592485,46785.8686849905,336069.335763452,479901.269642367,524688.039315823,142522.230000883
"GTMr103",15885.8489501625,65200.2631105477,350864.078217531,366963.759600311,339748.166638302,105825.569483146
"GTMr104",11568.5327778532,50932.3981364895,338413.179054555,385190.927426286,326578.095073515,77173.0375313012
"GTMr105",20333.1824604901,85623.8194579082,529574.547373923,577135.478139214,458564.052446727,95256.7591217375
"GTMr106",27212.3165048961,141165.847987903,895696.722256277,1240758.84597299,1274983.80528566,296331.324992277
"GTMr107",10850.4827685351,61838.9762430472,443931.004945464,666306.99341034,883833.383335969,263715.236296644
"GTMr108",5619.80969866184,23544.2243041006,199692.587029799,238613.463640675,206641.527712641,53534.5020141226
"HTIr101",67253.5080704631,236781.869319628,1017358.67637254,1065545.73944561,739319.306889799,72945.8379019616
"HTIr102",17608.2820121255,42653.0536548541,159039.94645655,204671.186160537,179464.524216543,29851.4535993907
"HTIr103",14170.1400430234,53334.0327299378,241258.54333213,357856.614422619,354907.939018613,79113.9834536768
"HTIr104",7541.6493961154,21936.7644228665,88416.5868882751,137235.041924006,135039.870256537,27535.1033121997
"HTIr105",46935.0258339,145592.83830243,534681.324620471,577315.117864657,483573.136704235,84564.0266743073
