"GDLcode","shdi","ISOcode","LISDHS","Population","X1est","X2est","X3est","X4est","X5est","X6est","X7est","X8est"
"MDGr108",0.445806857,"MDG","DHS",440249.5804,4565.40923406382,13188.8566093691,187001.270291934,23106.0802716289,8354.21470355724,156398.240537366,37686.088013459,9949.42073862182
"MDGr109",0.418008974,"MDG","DHS",1100066.473,11407.7420115997,32955.440775183,467266.38028743,57735.9419767564,20874.9580074034,390797.557819422,94167.4990001499,24860.953122055
"MDGr110",0.541060741,"MDG","DHS",1300394.593,13485.1542105158,38956.8067437864,552358.143194185,68249.9727162721,24676.4020067807,461963.930016056,111315.915484798,29388.2686276057
"MDGr111",0.541913275,"MDG","DHS",1110262.995,11513.480433092,33260.904931333,471597.474856168,58271.096730588,21068.4481044073,394419.862465236,95040.3380501588,25091.3894290162
"MDGr112",0.535724969,"MDG","DHS",1097662.548,11382.8131942161,32883.4247562333,466245.284416588,57609.7742607837,20829.3409154734,389943.565772361,93961.7190672185,24806.6256171261
"MDGr113",0.524832759,"MDG","DHS",981360.2012,10176.7522877149,29399.2761197152,416844.472791117,51505.7562660408,18622.3773680874,348627.268790635,84006.0469375725,22178.2506391172
"MDGr114",0.537368542,"MDG","DHS",1428713.255,14815.8248811505,42800.9363211194,606863.028296766,74984.6555791749,27111.3882067612,507549.011429819,122300.203954778,32288.206330431
"MDGr115",0.465032546,"MDG","DHS",313753.4428,3253.63822874511,9399.32563712008,133270.524207563,16467.0508674873,5953.81288665838,111460.609166002,26857.8106290151,7090.67117740816
"MDGr116",0.462546382,"MDG","DHS",376010.4344,3899.24621337381,11264.4007483719,159714.925365599,19734.5498258571,7135.20702711708,133577.345628404,32187.1114832239,8497.64810805385
"MDGr117",0.417123197,"MDG","DHS",1512283.887,15682.4563375228,45304.5186782018,642360.652914377,79370.7806711927,28697.2318593676,537237.398170632,129453.987474642,34176.8608940653
"MDGr118",0.425332357,"MDG","DHS",908264.6076,9418.74748124211,27209.5016243229,385796.245911437,47669.4035960634,17235.3089641527,322660.129379196,77748.9439295406,20526.3267140451
"MDGr119",0.42757869,"MDG","DHS",721979.4486,7486.96146046968,21628.8302054603,306669.398503918,37892.4043008991,13700.3454260652,256482.505588272,61802.627998253,16316.3751166623
"MDGr120",0.449336088,"MDG","DHS",734243.8993,7614.14440162235,21996.2447104963,311878.870499892,38536.0923246428,13933.0767197007,260839.439918327,62852.4851454126,16593.5455799062
"MDGr121",0.597124715,"MDG","DHS",843599.389,8748.16606728377,25272.2816161765,358328.92155665,44275.5111353449,16008.2160966341,299687.872588366,72213.4948841265,19064.9250554182
"MDGr122",0.570617109,"MDG","DHS",1016115.83,10537.1698229571,30440.4741696831,431607.341456408,53329.8723690342,19281.9032326857,360974.172535895,86981.1859138093,22963.7104995272
"MEXr101",0.789660006,"MEX","LIS",1250751.634,49523.4575567881,154493.321399965,596666.438061101,48896.98176838,25013.4739267679,290792.787273578,58297.5386170188,27067.6353964012
"MEXr102",0.802779233,"MEX","LIS",3330758.264,140846.746587355,427111.798940854,1606003.87300945,130950.167611101,64353.4711008716,749267.435442417,140202.629737786,72022.1415701688
"MEXr103",0.798268306,"MEX","LIS",757634.8625,30401.2727892041,95165.5803569234,364015.811800469,29193.9120381181,15042.2492226756,175451.155021361,32553.1648850359,15811.7163862122
"MEXr104",0.764301225,"MEX","LIS",877544.6758,33285.8729617947,105337.414925528,414168.289601801,33542.8289622531,17697.7229764557,211659.079879365,43079.8634270994,18773.603065703
"MEXr105",0.790569589,"MEX","LIS",3440999.618,135375.613970053,427074.207760946,1648868.4312065,133858.475536077,68763.1838274288,801109.812450694,153196.392493184,72753.5007551181
"MEXr106",0.78200114,"MEX","LIS",735147.4808,28557.7039891759,89495.010000181,350965.67417596,28554.7605684242,14566.7447721435,172867.811649246,34528.3431217828,15611.4325230863
"MEXr107",0.692159727,"MEX","LIS",5280724.285,191242.297728451,615148.701357287,2493962.00817758,200497.157664789,107144.768677998,1291904.28834641,266897.049447054,113928.013600423
"MEXr108",0.779611396,"MEX","LIS",3530596.879,136172.608284884,428422.648581698,1686616.72014424,136181.474160634,69838.9845441357,833263.281921442,165643.048671689,74458.1126912763
"MEXr109",0.827768051,"MEX","LIS",8104126.265,466950.327483418,1195350.92021705,3805582.36122321,383680.137093611,157282.656170212,1544230.47864979,332058.340582143,218991.043580572
"MEXr110",0.764303295,"MEX","LIS",1368413.375,51904.8602487923,164259.588653545,645839.969885643,52305.5487123092,27597.2283758077,330053.983386172,67177.2764766357,29274.9192610952
"MEXr111",0.750856266,"MEX","LIS",5978287.588,221044.089757573,705412.167761976,2824527.28126786,227079.293210612,120740.533123227,1453767.50118235,298258.727665715,127457.994030692
"MEXr112",0.708999005,"MEX","LIS",3600486.119,131033.292913504,420532.928521407,1700566.87293801,136967.936091542,72963.7438767024,879421.157884615,181563.374257266,77436.812516953
"MEXr113",0.754363875,"MEX","LIS",3150519.528,116781.163110124,372136.606441073,1488328.17188502,119753.880406958,63602.1546482251,765717.207801771,157040.646251807,67159.697455018
"MEXr114",0.782076427,"MEX","LIS",7857401.999,305230.401071655,956540.406981623,3751190.69557257,305198.941207203,155692.255609731,1847645.4375351,369045.775647653,166858.085374469
"MEXr115",0.776403163,"MEX","LIS",17134742.4,653805.927620981,2076044.14678897,8161709.01916647,655147.092359121,341948.479344301,4082946.9624863,803985.114349898,359155.657883955
"MEXr116",0.739742594,"MEX","LIS",4609329.983,169534.535114289,542413.057301709,2178331.82191254,175250.184403588,93081.8587249788,1121925.23251985,230499.18239462,98294.1106284245
"MEXr117",0.770094597,"MEX","LIS",1937680.39,73568.3971057392,232775.41892826,914306.592413564,74024.4019159196,39105.148402366,467394.649371148,95046.798701869,41458.9831611346
"MEXr118",0.771894454,"MEX","LIS",1145597.767,43312.1386336329,137996.203235338,542033.287433731,43577.7955515031,23103.9854031911,276374.073689141,55051.8941052996,24148.3889481634
"MEXr119",0.799465977,"MEX","LIS",5106139.881,205715.04836279,642573.242952456,2453000.2171741,197414.866134938,101244.095355656,1180571.28170138,219076.186784643,106544.942534039
"MEXr120",0.702175896,"MEX","LIS",3997278.18,145473.834728232,466877.816936841,1887978.07578103,152062.506062492,81004.7231651196,976337.885846049,201572.590538778,85970.746941454
"MEXr121",0.736885355,"MEX","LIS",6409990.857,235764.161827495,754309.791411038,3029309.4904183,243712.661896128,129444.814231188,1560211.68135357,320544.993989312,136693.261872969
"MEXr122",0.781111302,"MEX","LIS",2009317.467,78054.3971672503,244609.267526859,959265.287383934,78046.3521601142,39814.0719684541,472485.212152136,94373.4485299042,42669.4301113482
"MEXr123",0.777383766,"MEX","LIS",1472959.289,56203.3260734977,178463.640654843,701607.57794038,56318.6170427464,29395.02545481,350983.663161959,69113.2270771348,30874.21159463
"MEXr124",0.754652853,"MEX","LIS",2681175.261,99383.8516787226,316698.072820927,1266606.5514727,101913.712548774,54127.1120758206,651645.551228624,133645.734285954,57154.6748884773
"MEXr125",0.797897124,"MEX","LIS",2854067.967,114523.899464429,358495.956167354,1371275.16085127,109975.679979231,56665.2932474701,660937.802765931,122630.240134772,59563.9343895386
"MEXr126",0.797684899,"MEX","LIS",2890115.013,115970.343038943,363023.781142862,1388594.44664734,111364.679274598,57380.979228292,669285.486021872,124179.067267917,60316.2303781789
"MEXr127",0.767771376,"MEX","LIS",2400989.908,91071.1981556747,288206.489248465,1133177.50192149,91774.2378765165,48421.5281943481,579105.91761455,117867.86494054,51365.1700484179
"MEXr128",0.785344253,"MEX","LIS",3457708.663,135707.158734935,424039.67688342,1649863.4774948,135435.078036892,68977.7896648738,806237.013912713,163156.001369885,74292.4669024816
"MEXr129",0.765059362,"MEX","LIS",1058442.874,40147.4660069733,127051.80632754,499545.478258595,40457.3912508006,21345.9545559647,255290.757261422,51960.4023757973,22643.6179629066
"MEXr130",0.737344451,"MEX","LIS",7773426.507,285912.324344285,914755.084344764,3673658.077844,295551.508315497,156978.344054822,1892076.15282639,388726.444163581,165768.571106658
"MEXr131",0.76830969,"MEX","LIS",2051022.659,77796.6997600424,246197.636212406,968006.040077861,78397.2647156964,41363.6272185511,494695.689903095,100687.496001336,43878.2051110117
"MEXr132",0.758227541,"MEX","LIS",1622891.221,60156.1497096646,191694.489190911,766665.530130047,61687.4516935661,32762.6531109979,394435.179108062,80894.5584616048,34595.2095951474
